Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free,Ego_X,Ego_Y
137,6.85,93.43,95.00,-0.0167,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-479.10,353.36
138,6.90,94.26,95.00,-0.0172,0.95,0.00,KEEP_LANE,-4,999.00,True,False,-478.34,354.42
139,6.95,95.12,95.00,-0.0176,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-477.57,355.49
140,7.00,95.92,95.00,-0.0146,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-476.78,356.56
141,7.05,96.33,95.00,-0.0168,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-475.98,357.63
142,7.10,96.14,95.00,-0.0177,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-475.18,358.70
143,7.15,95.49,95.00,-0.0183,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-474.37,359.75
144,7.20,94.53,95.00,-0.0185,0.73,0.00,KEEP_LANE,-4,999.00,True,False,-473.56,360.80
145,7.25,93.38,95.00,-0.0150,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-472.76,361.82
146,7.30,92.28,95.00,-0.0167,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-471.96,362.83
147,7.35,91.41,95.00,-0.0169,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-471.16,363.82
148,7.40,90.93,95.00,-0.0170,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-470.36,364.80
149,7.45,90.84,95.00,-0.0171,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-469.55,365.77
150,7.50,91.03,95.00,-0.0143,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-468.74,366.74
151,7.55,91.44,95.00,-0.0156,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-467.91,367.70
152,7.60,92.00,95.00,-0.0165,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-467.08,368.66
153,7.65,92.68,95.00,-0.0169,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-466.23,369.63
154,7.70,93.44,95.00,-0.0173,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-465.37,370.59
155,7.75,94.27,95.00,-0.0153,0.94,0.00,KEEP_LANE,-4,999.00,True,False,-464.50,371.56
156,7.80,95.12,95.00,-0.0157,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-463.61,372.54
157,7.85,95.91,95.00,-0.0170,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-462.71,373.51
158,7.90,96.32,95.00,-0.0177,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-461.80,374.49
159,7.95,96.12,95.00,-0.0183,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-460.88,375.46
160,8.00,95.47,95.00,-0.0154,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-459.95,376.41
161,8.05,94.50,95.00,-0.0171,0.75,0.00,KEEP_LANE,-4,999.00,True,False,-459.03,377.36
162,8.10,93.36,95.00,-0.0176,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-458.12,378.29
163,8.15,92.25,95.00,-0.0177,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-457.21,379.20
164,8.20,91.38,95.00,-0.0176,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-456.30,380.09
165,8.25,90.90,95.00,-0.0147,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-455.40,380.97
166,8.30,90.81,95.00,-0.0155,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-454.49,381.85
167,8.35,91.00,95.00,-0.0163,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-453.57,382.72
168,8.40,91.41,95.00,-0.0168,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-452.64,383.58
169,8.45,91.97,95.00,-0.0171,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-451.71,384.44
170,8.50,92.65,95.00,-0.0158,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-450.76,385.31
171,8.55,93.41,95.00,-0.0150,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-449.79,386.17
172,8.60,94.24,95.00,-0.0165,0.97,0.00,KEEP_LANE,-4,999.00,True,False,-448.82,387.03
173,8.65,95.10,95.00,-0.0171,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-447.83,387.90
174,8.70,95.92,95.00,-0.0176,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-446.82,388.77
175,8.75,96.37,95.00,-0.0161,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-445.80,389.63
176,8.80,96.22,95.00,-0.0162,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-444.78,390.49
177,8.85,95.59,95.00,-0.0176,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-443.75,391.34
178,8.90,94.65,95.00,-0.0181,0.59,0.00,KEEP_LANE,-4,999.00,True,False,-442.73,392.18
179,8.95,93.51,95.00,-0.0182,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-441.72,393.00
180,9.00,92.42,95.00,-0.0156,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-440.71,393.80
181,9.05,91.55,95.00,-0.0158,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-439.70,394.59
182,9.10,91.08,95.00,-0.0165,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-438.70,395.37
183,9.15,90.99,95.00,-0.0168,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-437.70,396.13
184,9.20,91.19,95.00,-0.0171,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-436.69,396.89
185,9.25,91.59,95.00,-0.0161,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-435.67,397.65
186,9.30,92.16,95.00,-0.0148,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-434.64,398.40
187,9.35,92.83,95.00,-0.0164,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-433.59,399.15
188,9.40,93.59,95.00,-0.0169,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-432.54,399.91
189,9.45,94.42,95.00,-0.0174,0.79,0.00,KEEP_LANE,-4,999.00,True,False,-431.47,400.66
190,9.50,95.24,95.00,-0.0167,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-430.38,401.41
191,9.55,95.89,95.00,-0.0152,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-429.28,402.15
192,9.60,96.07,95.00,-0.0170,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-428.18,402.90
