Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free
234,11.70,5.56,5.00,-0.0013,0.00,0.00,KEEP_LANE,-1,61.96,False,False
235,11.75,5.45,5.00,-0.0015,0.00,0.00,KEEP_LANE,-1,61.88,False,False
236,11.80,5.34,5.00,-0.0012,0.00,0.00,KEEP_LANE,-1,61.81,False,False
237,11.85,5.23,5.00,-0.0014,0.00,0.00,KEEP_LANE,-1,61.74,False,False
238,11.90,5.12,5.00,-0.0011,0.00,0.00,KEEP_LANE,-1,61.66,False,False
239,11.95,5.02,5.00,-0.0013,0.00,0.00,KEEP_LANE,-1,61.59,False,False
240,12.00,4.92,5.00,-0.0010,0.00,0.00,KEEP_LANE,-1,61.53,False,False
241,12.05,4.81,5.00,-0.0012,0.04,0.00,KEEP_LANE,-1,61.46,False,False
242,12.10,4.54,5.00,-0.0006,0.39,0.00,KEEP_LANE,-1,61.39,False,False
243,12.15,4.38,5.00,-0.0011,0.61,0.00,KEEP_LANE,-1,61.33,False,False
244,12.20,4.44,5.00,-0.0006,0.59,0.00,KEEP_LANE,-1,61.27,False,False
245,12.25,4.64,5.00,-0.0010,0.43,0.00,KEEP_LANE,-1,61.21,False,False
246,12.30,5.14,5.00,-0.0012,0.00,0.00,KEEP_LANE,-1,61.14,False,False
247,12.35,5.50,5.00,-0.0017,0.00,0.00,KEEP_LANE,-1,61.06,False,False
248,12.40,5.86,5.00,-0.0015,0.00,0.00,KEEP_LANE,-1,60.98,False,False
249,12.45,5.95,5.00,-0.0018,0.00,0.00,KEEP_LANE,-1,60.90,False,False
250,12.50,5.98,5.00,-0.0016,0.00,0.00,KEEP_LANE,-1,60.82,False,False
251,12.55,5.93,5.00,-0.0018,0.00,0.00,KEEP_LANE,-1,60.74,False,False
252,12.60,5.85,5.00,-0.0015,0.00,0.00,KEEP_LANE,-1,60.65,False,False
253,12.65,5.76,5.00,-0.0017,0.00,0.00,KEEP_LANE,-1,60.57,False,False
254,12.70,5.65,5.00,-0.0014,0.00,0.00,KEEP_LANE,-1,60.49,False,False
255,12.75,5.54,5.00,-0.0017,0.00,0.00,KEEP_LANE,-1,60.42,False,False
256,12.80,5.43,5.00,-0.0014,0.00,0.00,KEEP_LANE,-1,60.34,False,False
257,12.85,5.32,5.00,-0.0016,0.00,0.00,KEEP_LANE,-1,60.27,False,False
258,12.90,5.21,5.00,-0.0013,0.00,0.00,KEEP_LANE,-1,60.19,False,False
259,12.95,5.11,5.00,-0.0015,0.00,0.00,KEEP_LANE,-1,60.12,False,False
260,13.00,5.00,5.00,-0.0012,0.00,0.00,KEEP_LANE,-1,60.05,False,False
261,13.05,4.90,5.00,-0.0014,0.00,0.00,KEEP_LANE,-1,59.98,False,False
262,13.10,4.80,5.00,-0.0011,0.07,0.00,KEEP_LANE,-1,59.92,False,False
263,13.15,4.53,5.00,-0.0016,0.41,0.00,KEEP_LANE,-1,59.85,False,False
264,13.20,4.38,5.00,-0.0010,0.62,0.00,KEEP_LANE,-1,59.79,False,False
265,13.25,4.48,5.00,-0.0014,0.56,0.00,KEEP_LANE,-1,59.73,False,False
266,13.30,4.79,5.00,-0.0011,0.27,0.00,KEEP_LANE,-1,59.66,False,False
267,13.35,5.01,5.00,-0.0017,0.00,0.00,KEEP_LANE,-1,59.60,False,False
268,13.40,5.51,5.00,-0.0017,0.00,0.00,KEEP_LANE,-1,59.52,False,False
